# DocType labels and descriptions (no quotes - no commas in texts)
Naming Series for new Sales Orders created by Etsy Integration.\nUse {ETSY_ORDER_ID} as placeholder for Etsy's Order ID.\nERPNext standards for Naming Series like 'Etsy-.YYYY.-{ETSY_ORDER_ID}' can be used. Leave blank to use the default Naming Series of Sales Order Doctype.,Nummernkreis für neue Aufträge die durch die Etsy-Integration erstellt werden.\nVerwenden Sie {ETSY_ORDER_ID} als Platzhalter für Etsys Bestell-ID.\nERPNext-Standards für Nummernkreise wie 'Etsy-.YYYY.-{ETSY_ORDER_ID}' können verwendet werden. Leer lassen um den Standard-Nummernkreis des Auftrag-DocType zu verwenden.,
Next Sync,Nächste Synchronisation,
Redirect URI,Redirect-URI,
Refresh Token,Refresh-Token,
Sales Invoice Naming Series,Rechnungsnummernkreis,
Sales Order & Invoice Settings,Auftrag & Ausgangsrechnung Einstellungen,
Sales Order - Synchronisation,Auftrags-Synchronisation,
Sales Order Naming Series,Auftragsnummernkreis,
Shipping Income Account,Versanderlöse-Konto,
VAT Account,Umsatzsteuer-Konto,
VAT collected from the buyer.,Vom Käufer erhobene Umsatzsteuer.,
Used for shipping costs and gift wrap charges.,Für Versandkosten und Geschenkverpackungsgebühren.,
Income Account for physical sales,Erlöskonto für physische Verkäufe,
Income Account for digital sales,Erlöskonto für digitale Verkäufe,
Discount Account,Erlösschmälerungskonto,
Account for coupon discounts.,Konto für Coupon-Rabatte.,
Scheduled Job Type,Geplanter Auftragstyp,
Scheduler Link,Scheduler-Verknüpfung,
Settings,Einstellungen,
Sold Out,Ausverkauft,
Sync Interval,Synchronisationsintervall,
Token State,Token-Status,
Token Type,Token-Typ,
Unit of Measure,Maßeinheit,
Use localhost,Localhost verwenden,
Views,Aufrufe,
Fee & Payout Settings (Journal Entries),Gebühren- & Auszahlungseinstellungen (Buchungssätze),
Etsy Fees Expense Account,Aufwandskonto Etsy-Gebühren,
Marketing Expense Account,Aufwandskonto Marketing,
Shipping Label Expense Account,Aufwandskonto Versandetiketten,
Other Expense Account,Aufwandskonto Sonstiges,
Tax on Seller Fees Account,Konto für Steuern auf Verkäufergebühren,
Cost Center for fees,Kostenstelle für Gebühren,
Submit Journal Entry automatically,Buchungssatz automatisch buchen,
If unchecked the monthly Journal Entry is saved as draft for review.,Wenn nicht aktiviert wird der monatliche Buchungssatz als Entwurf zur Prüfung gespeichert.,
Fees - Monthly Journal Entry,Gebühren - Monatlicher Buchungssatz,
Day of Month,Tag des Monats,
Last Run,Letzte Ausführung,
Next Run,Nächste Ausführung,
Fee Journal Entries,Gebühren-Buchungssätze,
Etsy Fee Period,Etsy Gebührenzeitraum,
Payouts,Auszahlungen,
Payout Account,Auszahlungskonto,
Submit Payout Journal Entries automatically,Auszahlungs-Buchungssätze automatisch buchen,
If unchecked payout Journal Entries are saved as draft for review.,Wenn nicht aktiviert werden Auszahlungs-Buchungssätze als Entwurf zur Prüfung gespeichert.,
Payouts - Journal Entries,Auszahlungen - Buchungssätze,
Etsy Ledger Entry ID,Etsy Kontobewegungs-ID,

# JS/Python translations (with quotes - commas in texts allowed)
"'listing_state' must be one of: {0}","'listing_state' muss einer der folgenden sein: {0}",""
"Also create or update Item Attributes of the selected Listings.","Artikelattribute der ausgewählten Listings ebenfalls erstellen oder aktualisieren.",""
"Also create or update Items & Variants of the selected Listings.","Artikel & Varianten der ausgewählten Listings ebenfalls erstellen oder aktualisieren.",""
"Are you sure you want to proceed?","Sind Sie sicher, dass Sie fortfahren möchten?",""
"CLIENT_ID is mandatory!","CLIENT_ID ist erforderlich!",""
"CLIENT_SECRET is mandatory!","CLIENT_SECRET ist erforderlich!",""
"Disconnect","Verbindung trennen",""
"Etsy listing import completed for {0}.","Etsy-Listingsimport abgeschlossen für {0}.",""
"Etsy Listing State","Etsy-Listing Status",""
"Etsy Listings","Etsy-Listings",""
"Etsy sales import completed for {0}.","Etsy-Verkaufsimport abgeschlossen für {0}.",""
"Failed to queue listing import!","Listingimport konnte nicht gestartet werden!",""
"Failed to queue sales import!","Verkaufsimport konnte nicht gestartet werden!",""
"From date must be before To date!","Das Von-Datum muss vor dem Bis-Datum liegen!",""
"From","Von","date"
"Import Etsy Listings","Etsy-Listings importieren",""
"Import Sales History","Verkaufsverlauf importieren",""
"Import","Importieren",""
"Include Attributes","Attribute einbeziehen",""
"Include Items","Artikel einbeziehen",""
"Invalid Parameters.","Ungültige Parameter.",""
"Invalid token state! Check if the token has been created by the OAuth flow.","Ungültiger Token-Status! Prüfen Sie, ob der Token durch den OAuth-Flow erstellt wurde.",""
"It is not recommended to add new customers by name! 'Selling Settings > Customer Naming By' - using 'Naming Series' is preferred.","Es wird nicht empfohlen, neue Kunden nach Kundenname hinzuzufügen! 'Vertriebseinstellungen > Benennung der Kunden' - die Verwendung von 'Nummernkreis' wird bevorzugt.",""
"Listing import has been queued.","Listingimport wurde gestartet.",""
"Listings with the selected state will be imported or updated.","Listings mit dem ausgewählten Status werden importiert oder aktualisiert.",""
"Login with {} on Etsy","Mit {} bei Etsy anmelden",""
"Please save before logging in!","Bitte speichern Sie vor der Anmeldung!",""
"Sales History","Verkaufsverlauf",""
"Sales import has been queued.","Verkaufsimport wurde gestartet.",""
"Synchronisation is not enabled! 'Etsy Settings > Enable Synchronisation'","Synchronisation ist nicht aktiviert! 'Etsy-Einstellungen > Synchronisation aktivieren'",""
"To","Bis","date"
"You will need to login again with '{}' before next use!","Sie müssen sich vor der nächsten Verwendung erneut mit '{}' anmelden!",""
"Etsy Fees & Payouts","Etsy-Gebühren & Auszahlungen",""
"Book Etsy Fees & Payouts","Etsy-Gebühren & Auszahlungen buchen",""
"Create","Erstellen",""
"Book","Buchen",""
"Month","Monat",""
"Any date within the month whose Etsy ledger should be booked.","Ein beliebiges Datum innerhalb des Monats, dessen Etsy-Kontobewegungen gebucht werden sollen.",""
"Etsy ledger booking has been queued.","Buchung der Etsy-Kontobewegungen wurde gestartet.",""
"Failed to queue Etsy ledger booking!","Buchung der Etsy-Kontobewegungen konnte nicht gestartet werden!",""
"Please set the 'Etsy Fees Expense Account' and / or the 'Payout Account' in the Fee & Payout Settings section first.","Bitte legen Sie zuerst das 'Aufwandskonto Etsy-Gebühren' und / oder das 'Auszahlungskonto' im Abschnitt Gebühren- & Auszahlungseinstellungen fest.",""
"Please set the 'Etsy Fees Expense Account' in the Fee Settings of Etsy Shop {0}.","Bitte legen Sie das 'Aufwandskonto Etsy-Gebühren' in den Gebühreneinstellungen des Etsy-Shops {0} fest.",""
"Please set the 'Bank Account' of Etsy Shop {0}.","Bitte legen Sie das 'Bankkonto' des Etsy-Shops {0} fest.",""
"A fee Journal Entry for {0} already exists: {1}","Ein Gebühren-Buchungssatz für {0} existiert bereits: {1}",""
"Fee Journal Entry {0} created for {1} ({2}).","Gebühren-Buchungssatz {0} für {1} ({2}) erstellt.",""
"No Etsy fees found for {0} ({1}).","Keine Etsy-Gebühren für {0} ({1}) gefunden.",""
"Failed to book the Etsy ledger for {0}. See Error Log.","Die Etsy-Kontobewegungen für {0} konnten nicht gebucht werden. Siehe Fehlerprotokoll.",""
"Etsy fees deducted from payment account","Vom Zahlungskonto abgezogene Etsy-Gebühren",""
"Etsy ledger entries with mixed currencies are not supported: {0}","Etsy-Kontobewegungen mit gemischten Währungen werden nicht unterstützt: {0}",""
"No exchange rate found from {0} to {1} for {2}.","Kein Wechselkurs von {0} nach {1} für {2} gefunden.",""
"Account {0} is held in {1}, but Etsy fees are in {2}.","Konto {0} wird in {1} geführt, die Etsy-Gebühren sind jedoch in {2}.",""
"Book Fees","Gebühren buchen",""
"Book Payouts","Auszahlungen buchen",""
"One Journal Entry per shop and month with all Etsy fees.","Ein Buchungssatz pro Shop und Monat mit allen Etsy-Gebühren.",""
"One Bank Entry per Etsy payout from the Bank Account to the Payout Account.","Eine Bankbuchung pro Etsy-Auszahlung vom Bankkonto auf das Auszahlungskonto.",""
"Please set the 'Payout Account' in the Fee Settings of Etsy Shop {0}.","Bitte legen Sie das 'Auszahlungskonto' in den Gebühreneinstellungen des Etsy-Shops {0} fest.",""
"'Payout Account' and 'Bank Account' must be different accounts.","'Auszahlungskonto' und 'Bankkonto' müssen unterschiedliche Konten sein.",""
"Select at least one of 'Book Fees' and 'Book Payouts'.","Wählen Sie mindestens eine der Optionen 'Gebühren buchen' und 'Auszahlungen buchen'.",""
"{0} payout Journal Entries created for {1}: {2}","{0} Auszahlungs-Buchungssätze für {1} erstellt: {2}",""
"No new Etsy payouts found for {0} ({1}).","Keine neuen Etsy-Auszahlungen für {0} ({1}) gefunden.",""
